# Downstream regression manifest — tish CONSUMERS built/tested against tish HEAD.
# Columns (TAB-separated): name  source  subdir  kind  cmd  expected
#   source:   git:URL@REF | local:PATH (dev machine only) | self:SUBDIR (a subdir of the tish checkout)
#   kind:     rust (cargo: extension/embedder) | ffi (extern-C extension) | tish (runs .tish programs)
#   expected: pass  = must build+test clean (a failure is a REGRESSION → fails the suite)
#             xfail = known-broken on this branch pending migration (green now; flags if it gets FIXED)
# For `tish` kind the runner builds the HEAD binary, `npm install`s the repo, and overwrites the
# bundled @tishlang/tish binary with HEAD so the repo's OWN test/build harness runs against HEAD.
# Run:  regression/downstream/run.sh all          # local: everything below
#       regression/downstream/run.sh --git-only   # CI: only git:/self: sources (local: skipped)
#
# ── ffi: extern-C extensions — the C-ABI is stable, so these MUST keep working ──
brainstorm-pg	local:~/Projects/brainstorm/crates/brainstorm-pg	.	rust	cargo test	pass
tish-polars	git:https://github.com/spacedevin/tish-polars.git@main	.	rust	cargo check	xfail
tish-apple	git:https://github.com/tishlang/tish-apple.git@main	.	rust	cargo check -p tishlang_apple_common	pass
#
# ── tish-program consumers — no compile link; hit only by SEMANTIC changes (div-by-zero, key order) ──
# Tested via the repo's own build/test harness against the HEAD binary (see header). expected=pass —
# the language surface only GREW, so these should keep working; a RED means a real break OR a cmd that
# needs per-repo tuning (entry/feature flags). Refine the cmd as you wire each repo.
lattish	git:https://github.com/spacedevin/lattish.git@npm-package-name-fix	.	tish	npm test	pass
tish-ide-panels	git:https://github.com/tishlang/tish-ide-panels.git@main	.	tish	npm test	pass
# tish-audio / tish-midi are lattish APPS that import bare `lattish`. The runner wires the LOCAL WORKSPACE
# lattish ($TISH/../lattish) into node_modules/lattish — the npm analog of rewrite_tish_paths for the Rust
# crates — so we test against the lattish being DEVELOPED next to this tish, NOT the published package
# (which would only re-test already-released code). HEAD tish then transpiles the workspace lattish + the
# whole app (tish-audio -> 1.3 MB dist/main.js with createRoot inlined). Just `npm run build` — the runner
# does npm install + HEAD-binary override + the lattish wiring.
tish-audio	git:https://github.com/spacedevin/tish-audio.git@main	.	tish	npm run build	pass
tish-learn	git:https://github.com/tishlang/learn.git@main	.	tish	npm run build:css	pass
tish-playground	git:https://github.com/spacedevin/tish-playground.git@main	.	tish	npm run build	pass
# tish-midi (deckard): a lattish APP; own npm scripts are monorepo-bound (`cd ../tish`, no `test`), so we
# transpile-smoke its JS-targetable `src/` (no native `tish:` imports; `services/` daemons excluded). The
# runner wires the LOCAL workspace lattish into node_modules (see tish-audio note), so the bare imports
# resolve to the workspace lattish.
tish-midi	git:https://github.com/spacedevin/deckard.git@main	.	tish	rc=0; while IFS= read -r f; do tish build --target js "$f" -o /tmp/_m.js >/tmp/_m.err 2>&1 || { echo "FAIL: $f"; head -2 /tmp/_m.err; rc=1; }; done < <(find src -name "*.tish" -not -path "*/node_modules/*"); exit $rc	pass
tish-tailwind	local:~/Projects/tish-audio/tish-tailwind	.	tish	bash -c 'f=$(find . -name "*.tish" -not -path "*/node_modules/*" | head -1); [ -z "$f" ] || tish build --target js "$f" -o /tmp/_tw.js'	pass
# The REAL dune-server (dune-ide headless backend) built NATIVELY against tish HEAD with its exact
# feature set — a build-regression guard for the actual server. cmd is a direct `tish build` (NOT npm),
# so the runner skips the heavy monorepo npm install. Private repo → local-only (skipped in CI). The
# always-on CI guard for the SAME primitives is the self-contained regression/dune-server suite.
dune-server	local:~/Projects/dune/dune-ide	.	tish	TISH_HTTP_BACKEND=hyper tish build --target native --feature http,http-hyper,fs,process,ws,pty -o /tmp/_dune_server apps/dune-server/dune-server.tish	pass
spider3-tish	git:https://github.com/schlopai/spider-gwen-webgpu.git@main	.	tish	bash -c 'rc=0; while IFS= read -r f; do tish build --target js "$f" -o /tmp/_s.js >/tmp/_s.err 2>&1 || { echo "FAIL: $f"; head -2 /tmp/_s.err; rc=1; }; done < <(find . -name "*.tish" -not -path "*/node_modules/*" -not -path "*/vendor/*" -not -path "*/dist/*"); exit $rc'	pass
spacekinematics	git:https://github.com/spacedevin/solar-system-webgpu.git@main	.	tish	bash -c 'rc=0; while IFS= read -r f; do tish build --target js "$f" -o /tmp/_s.js >/tmp/_s.err 2>&1 || { echo "FAIL: $f"; head -2 /tmp/_s.err; rc=1; }; done < <(find . -name "*.tish" -not -path "*/node_modules/*" -not -path "*/vendor/*" -not -path "*/sgp4-wasm/*"); exit $rc'	pass
#
# ── ADDED: non-GBA target coverage. The GBA work changes shared codegen (module-const hoisting,
# array lowering, i32 stores), so the suite needs consumers that exercise the paths GBA does NOT:
# the INTERPRETER (`tish run`), the JS backend, and a NATIVE build with a real feature set. Each row
# below was picked for the target it covers, not just for being written in tish.
#
# tishdoc-parse: `tish run` over a golden-file test suite — the only downstream row that exercises
# the INTERPRETER end to end, which is where a semantic divergence would show up first.
# xfail: its parse suite passes, then `golden_note.tish` dies with `Uncaught FAIL title`. Confirmed
# IDENTICAL on tish 3.3.0 (b9c39feaa), so it is a pre-existing break in that repo, not a regression
# — recorded as xfail rather than dropped, so the row flags if it ever starts passing.
tishdoc-parse	git:https://github.com/tishlang/tishdoc-parse.git@main	.	tish	npm test	xfail
# scii: `tish build --target native` with http,timers,process,tty,fs — the widest native feature set
# of any consumer here. On a feature branch, so local: (skipped in CI).
# xfail: the COMPILER FRONTEND spins at 100% CPU indefinitely on this entry point — 40+ minutes with
# no rustc ever spawned, so it is not a slow native build. Confirmed identical on 3.3.0, so it is a
# pre-existing compiler hang, not a regression from the GBA work. It deserves its own issue; kept
# here as xfail so the row flags the day it starts terminating.
# The `timeout 240` is load-bearing, not caution: the runner does NOT cap a repo's command, and
# this one never terminates, so without it a single xfail row eats the whole suite's budget and the
# run looks hung rather than reporting.
scii	local:~/Projects/scii	.	tish	bash -c 'timeout 240 tish build src/tui/interactive.tish -o /tmp/_scii --feature http,timers,process,tty,fs'	xfail
# deck: the JS backend, on a real library build (transpile + exports append).
deck	local:~/Projects/deck	.	tish	bash -c 'tish build src/index.tish -o /tmp/_deck.js --target js'	pass
# tish-hub: DROPPED, not xfail. Its App.tish fails at PARSE — `Expected { }, * as name, or default
# import` — so the repo uses an import syntax this tish does not accept, and the row would test the
# parser's opinion rather than the JS backend it was added for. `deck` already covers the JS target.
